0,Série,Geração,Temporada,Descrição,Episódios,Região
11,Batalha Dimensional,"Continua as aventuras de Ash, Brock e Dawn em Sinnoh. Eles reveem May, conhecem Barry (rival de Paul) e a Equipe Galática, cujo o líder, Cyrus, planeja invocar os lendários Palkia e Dialga para se tornar o deus de um novo universo.Tem 52 episódios",522-573,,,
12,Batalhas Galácticas,"Continua a jornada de Ash, Dawn e Brock em Sinnoh com vários pokémons novos. Nessa temporada eles conhecem Looker, investigador da Polícia Internacional que está investigando a Equipe Galáctica. A Equipe Galáctica consegue invocar Dialga e Palkia, mas Cyrus é sugado e desaparece através de um portal. Sem seu líder, a Equipe Galáctica chega ao fim. Tem 53 episódios",574-626,,,
13,Vencedores da Liga Sinnoh,"Conclui a jornada de Ash, Dawn e Brock em Sinnoh. Tem 34 episódios e é a temporada em que menos tem episódios da saga Pokémon.",627-660,,,
14,Preto e Branco,Quinta,Preto e Branco,"Inicia as aventuras de Ash na região de Unova com seus novos amigos, Iris, da Cidade de Opelucid, e Cilan, da Cidade de Striaton. Tem 48 episódios",661-708,Unova
15,Destinos Rivais,"Ash reencontra Dawn e Cynthia. Ash e seus amigos também conhecem Alder, um mestre pokémon. Ash batalha contra Alder, embora não haja vencedor devido a Alder adormecer no meio da batalha. Ash também conhece Giovanni, o líder da Equipe Rocket, pela primeira vez. Tem 49 episódios",709-757,,,
16,Aventuras em Unova (e Mais Além),"Continua a jornada de Ash, Iris e Cilan em Unova, onde eles continuam a explorar a região. Eles encontram a Equipe Plasma, que planeja despertar o lendário Pokémon Reshiram, o que acabam conseguindo fazer mas Ash e seus amigos ajudam Looker a prender Ghetsis (o líder da Equipe Plasma) e os outros membros da equipe Plasma, derrubando a equipe. Após as aventuras em Unova eles se juntam à Alexa, uma repórter da região de Kalos em uma viagem de barco pelo arquipélago Decolora de volta para Kanto. Ao chegarem em Kanto, Iris e Cilan decidem ir para Johto enquanto Ash e Alexa decidem ir para Kalos. Tem 47 episódios",758-804,,,
17,XY,Sexta,A Série XY,"Inicia as aventuras de Ash na região de Kalos onde ele reencontra Serena, treinadora novata da Vila de Vaniville que ele havia conhecido em um acampamento na Região de Kanto quando era mais novo, além de conhecer os irmãos Clemont e Bonnie, da Cidade de Lumiose. Acompanhado destes novos amigos ele inicia sua jornada pela Região de Kalos. Tem 49 episódios",805-853,Kalos
18,Desafio em Kalos,"Continua as aventuras de Ash, Serena, Clemont e Bonnie pela Região de Kalos.Tem 45 episódios",854-898,,,
19,A Série: XY & Z,"Continua a saga de Ash ,Clement, Bonnie e Serena para a Liga Kalos e Ash em Busca de Sua Oitava Insignia de Ginásio e Serena sua Terceira Chave de Princesa e o aparecimento da Equipe Flare e o Lendario Zygarde. Tem 49 episódios.",899-951,,,
20,Sol e Lua,Sétima,Sol e Lua,"Inicia as aventuras de Ash, Victória, Lulú, Kiawe, Chris e Lillian pela Região de Alola. Tem 43 episódios",952-994,Alola
21,Ultra Aventuras,"Continua as aventuras de Ash e seus colegas de classe em Alola agora como Ultra Guardiões, protegendo Alola das Ultra Criaturas aparecendo pelas Ultra Fendas Espaciais. Tem 49 episódios",995-1037,,,
